,Date-Time,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Side,BuyV,SellV
31711,2023-11-15 17:36:46.800041260,0.26,1,0.26,1,0.27,15,Sell,0,1
31712,2023-11-15 17:38:18.104948347,0.26,1,0.26,1,0.27,11,Sell,0,1
31713,2023-11-15 17:50:13.135631803,0.25,1,0.25,1,0.26,66,Sell,0,1
31714,2023-11-15 17:51:14.200540494,0.26,1,0.25,70,0.26,1,Buy,1,0
31715,2023-11-15 17:52:34.190511950,0.25,10,0.25,40,0.26,1,Sell,0,10
31716,2023-11-15 17:53:19.475501583,0.25,1,0.25,1,0.26,53,Sell,0,1
31717,2023-11-15 17:53:56.504939659,0.25,1,0.25,1,0.26,64,Sell,0,1
31718,2023-11-15 18:01:22.800446320,0.25,1,0.24,5,0.25,20,Buy,1,0
31719,2023-11-15 18:04:01.645184388,0.24,1,0.24,112,0.25,21,Sell,0,1
31720,2023-11-15 18:04:01.645184388,0.24,1,0.24,107,0.25,19,Sell,0,1
31721,2023-11-15 18:04:50.495585996,0.25,3,0.24,69,0.25,18,Buy,3,0
31722,2023-11-15 18:07:13.755607009,0.25,1,0.24,59,0.25,10,Buy,1,0
31723,2023-11-15 18:30:04.315202481,0.25,1,0.24,49,0.25,10,Buy,1,0
31724,2023-11-15 18:31:56.635085308,0.25,1,0.24,112,0.25,8,Buy,1,0
31725,2023-11-15 18:31:56.825210423,0.25,2,0.24,118,0.25,7,Buy,2,0
31726,2023-11-15 18:31:56.825210423,0.25,3,0.24,51,0.25,5,Buy,3,0
31727,2023-11-15 18:31:56.825210423,0.25,2,0.24,46,0.25,2,Buy,2,0
31728,2023-11-15 18:32:04.629944063,0.26,1,0.25,16,0.26,1,Buy,1,0
31729,2023-11-15 18:38:06.470286006,0.25,1,0.24,32,0.25,1,Buy,1,0
31730,2023-11-15 18:40:51.125358654,0.26,1,0.25,94,0.26,1,Buy,1,0
31731,2023-11-15 18:49:02.499994140,0.27,2,0.26,8,0.27,15,Buy,2,0
31732,2023-11-15 18:54:09.319897906,0.27,12,0.26,80,0.27,12,Buy,12,0
31733,2023-11-15 18:54:49.275471261,0.28,1,0.27,26,0.28,3,Buy,1,0
31734,2023-11-15 18:55:00.174954164,0.28,2,0.27,33,0.28,2,Buy,2,0
31735,2023-11-15 18:57:27.885122328,0.29,1,0.28,1,0.29,24,Buy,1,0
31736,2023-11-15 18:59:03.730304725,0.28,3,0.28,3,0.29,23,Sell,0,3
